symbol,quote_volume,onboard_date
BTCUSDT,7014825965.11,2019-09-08
ETHUSDT,6766895175.42,2019-11-27
ZECUSDT,2033701501.99,2020-02-05
SOLUSDT,1687990044.8252,2020-09-14
AKEUSDT,1403998551.116058,2025-09-26
XRPUSDT,985787112.2637,2020-01-06
ONEUSDT,909009639.0255146,2021-03-17
GUSDT,696175109.943161,2024-08-15
AVAXUSDT,656207123.556,2020-09-23
ENAUSDT,592975026.03303,2024-04-02
DOGEUSDT,530354521.3244,2020-07-10
NEARUSDT,525949792.355,2020-10-15
1000PEPEUSDT,506003501.3781784,2023-05-05
HYPEUSDT,476931369.12045,2025-05-30
UNIUSDT,442132636.741,2020-09-18
SUIUSDT,434183886.8699,2023-05-03
BRUSDT,384312673.08416,2025-03-21
BNBUSDT,366343298.951,2020-02-10
FILUSDT,319386631.5639,2020-10-16
CELRUSDT,305964456.784275,2021-03-29
ZAMAUSDT,242040594.10929,2026-01-09
ARBUSDT,224755267.394349,2023-03-23
ADAUSDT,204370372.1664,2020-01-31
TAOUSDT,176400427.72,2024-04-11
WLDUSDT,170173649.0043,2023-07-24
LINKUSDT,167952882.68,2020-01-17
TRUMPUSDT,160472391.07391,2025-01-18
INJUSDT,159511363.1427,2022-08-16
ONDOUSDT,148664716.69411,2024-01-20
BANKUSDT,142382401.97416,2025-04-18
PUMPUSDT,124312697.576071,2025-07-10
B2USDT,123385760.7997,2025-05-06
LSKUSDT,121358423.34353,2024-01-25
AAVEUSDT,119917314.583,2020-10-16
HBARUSDT,99743408.41089,2021-03-17
PONSUSDT,97240064.2753,2026-09-06
ARUSDT,93603319.584,2021-09-28
BCHUSDT,91437824.85,2019-12-19
LTCUSDT,87828708.61,2020-01-09
XLMUSDT,80250196.745,2020-01-20
VVVUSDT,76209691.68585,2025-01-29
XMRUSDT,72704967.99,2020-02-03
LITUSDT,71271684.08191,2025-12-23
BTWUSDT,70035760.26702,2026-06-04
ZILUSDT,69240564.530714,2020-06-18
STRKUSDT,67906555.810746,2024-02-20
ASTERUSDT,65836893.4295,2025-09-19
PENGUUSDT,64408918.157865,2024-12-17
DASHUSDT,63561241.31,2020-02-04
TRXUSDT,61895835.80647,2020-01-15
